iter	Passed	Remaining
0	167	167407
1	169	84718
2	172	57185
3	174	43465
4	176	35175
5	178	29587
6	180	25582
7	182	22614
8	184	20319
9	186	18472
10	188	16978
11	191	15769
12	193	14694
13	195	13771
14	197	12973
15	199	12298
16	201	11675
17	203	11126
18	206	10649
19	208	10201
20	210	9809
21	212	9435
22	214	9091
23	216	8789
24	218	8509
25	219	8230
26	221	7983
27	223	7762
28	225	7542
29	226	7334
30	228	7147
31	230	6966
32	231	6794
33	233	6633
34	235	6491
35	237	6353
36	239	6220
37	240	6093
38	242	5983
39	244	5867
40	246	5755
41	247	5654
42	249	5557
43	251	5468
44	254	5394
45	256	5312
46	257	5227
47	259	5152
48	261	5078
49	263	5007
50	265	4940
51	267	4876
52	269	4809
53	270	4746
54	272	4687
55	274	4630
56	276	4569
57	277	4515
58	279	4465
59	282	4419
60	284	4372
61	285	4322
62	287	4273
63	289	4227
64	291	4186
65	293	4147
66	294	4106
67	296	4066
68	298	4028
69	300	3990
70	302	3951
71	303	3916
72	305	3880
73	307	3845
74	308	3809
75	310	3777
76	312	3747
77	314	3715
78	315	3683
79	318	3660
80	319	3629
81	322	3605
82	323	3571
83	325	3546
84	326	3519
85	329	3499
86	330	3471
87	332	3447
88	334	3425
89	336	3407
90	338	3384
91	340	3357
92	341	3332
93	343	3308
94	345	3286
95	346	3263
96	347	3238
97	349	3216
98	351	3195
99	352	3175
100	354	3154
101	355	3133
102	357	3112
103	358	3091
104	360	3070
105	361	3048
106	362	3027
107	364	3007
108	365	2987
109	366	2967
110	368	2948
111	369	2928
112	370	2909
113	372	2891
114	373	2872
115	374	2853
116	375	2833
117	376	2816
118	378	2799
119	379	2782
120	380	2765
121	381	2747
122	383	2731
123	384	2715
124	385	2698
125	386	2682
126	387	2665
127	389	2650
128	390	2635
129	391	2618
130	392	2602
131	393	2586
132	394	2570
133	395	2555
134	396	2539
135	397	2524
136	398	2509
137	399	2494
138	400	2479
139	401	2465
140	402	2451
141	403	2436
142	404	2425
